#locus_id	chrom	start	end	strand	genome_build	l1_family	cancer_type	n_samples_detected	coordinate_confidence
L1SOI-chr11-055251030-055251031--	chr11	55251030	55251031	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr1-061684334-061684335-+	chr1	61684334	61684335	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr10-059188247-059188248-+	chr10	59188247	59188248	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr11-103472282-103472283-+	chr11	103472282	103472283	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr12-085266168-085266172--	chr12	85266168	85266172	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr12-111075647-111075648--	chr12	111075647	111075648	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr2-163036149-163036150--	chr2	163036149	163036150	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr6-009257041-009257042--	chr6	9257041	9257042	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr3-028318245-028318246--	chr3	28318245	28318246	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr6-074066148-074066149--	chr6	74066148	74066149	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr6-080467172-080467173-+	chr6	80467172	80467173	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr7-087003868-087003869--	chr7	87003868	87003869	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr5-111054838-111054839--	chr5	111054838	111054839	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr4-031763979-031763980-+	chr4	31763979	31763980	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr7-085406037-085406038-+	chr7	85406037	85406038	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr8-113463565-113463566--	chr8	113463565	113463566	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr10-130459812-130459813--	chr10	130459812	130459813	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr8-076683787-076683788--	chr8	76683787	76683788	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr13-068055564-068055571--	chr13	68055564	68055571	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr18-027734064-027734069--	chr18	27734064	27734069	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr7-126102618-126102619-+	chr7	126102618	126102619	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr8-014111623-014111624--	chr8	14111623	14111624	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr13-025478838-025478839-unknown	chr13	25478838	25478839	unknown	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr15-098664649-098664650--	chr15	98664649	98664650	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr5-021233931-021233932-+	chr5	21233931	21233932	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr11-038427567-038427568--	chr11	38427567	38427568	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr11-081414890-081414895--	chr11	81414890	81414895	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr13-065521772-065521773--	chr13	65521772	65521773	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr14-049234463-049234464-+	chr14	49234463	49234464	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr2-049366643-049366644-+	chr2	49366643	49366644	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr7-147867164-147867165-+	chr7	147867164	147867165	+	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr1-112690329-112690330--	chr1	112690329	112690330	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr13-048897966-048897967--	chr13	48897966	48897967	-	hg19	L1HS	Bladder-TCC	1	high
L1SOI-chr10-008034970-008034982--	chr10	8034970	8034982	-	hg19	L1HS	Bone-Osteosarc	1	high
L1SOI-chr1-187632297-187632298--	chr1	187632297	187632298	-	hg19	L1HS	Bone-Osteosarc	1	high
L1SOI-chr13-110171460-110171461--	chr13	110171460	110171461	-	hg19	L1HS	Bone-Osteosarc	1	high
L1SOI-chr6-008896062-008896063-+	chr6	8896062	8896063	+	hg19	L1HS	Bone-Osteosarc	1	high
L1SOI-chrX-130743091-130743092-+	chrX	130743091	130743092	+	hg19	L1HS	Bone-Osteosarc	1	high
L1SOI-chr5-044172849-044172850--	chr5	44172849	44172850	-	hg19	L1HS	Bone-Epith	1	high
L1SOI-chr12-124777476-124777477--	chr12	124777476	124777477	-	hg19	L1HS	Bone-Cart	1	high
L1SOI-chr3-163919284-163919285-+	chr3	163919284	163919285	+	hg19	L1HS	Bone-Cart	1	high
L1SOI-chr13-056239740-056239741--	chr13	56239740	56239741	-	hg19	L1HS	Bone-Epith	1	high
L1SOI-chr2-229929782-229929783--	chr2	229929782	229929783	-	hg19	L1HS	Bone-Epith	1	high
L1SOI-chr2-229323464-229323480--	chr2	229323464	229323480	-	hg19	L1HS	Bone-Epith	1	high
L1SOI-chr5-050349776-050349777-+	chr5	50349776	50349777	+	hg19	L1HS	Bone-Epith	1	high
L1SOI-chr8-073447813-073447814-+	chr8	73447813	73447814	+	hg19	L1HS	Bone-Osteosarc	1	high
L1SOI-chrX-140248834-140248924-+	chrX	140248834	140248924	+	hg19	L1HS	Bone-Osteosarc	1	high
L1SOI-chr2-229245199-229245200--	chr2	229245199	229245200	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr16-026021602-026021620-+	chr16	26021602	26021620	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-085035381-085035382--	chr2	85035381	85035382	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr7-049039988-049039989--	chr7	49039988	49039989	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-106893074-106893075--	chr1	106893074	106893075	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr13-088899776-088899777--	chr13	88899776	88899777	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr14-073784963-073784964-+	chr14	73784963	73784964	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr18-030928459-030928470-+	chr18	30928459	30928470	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-160937563-160937564-+	chr5	160937563	160937564	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr7-008572981-008572982--	chr7	8572981	8572982	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-091079409-091079410-+	chr8	91079409	91079410	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-148482330-148482331-+	chrX	148482330	148482331	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-171488840-171488841--	chr4	171488840	171488841	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr20-058946582-058946583--	chr20	58946582	58946583	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-000229223-000229224--	chr3	229223	229224	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr15-084599587-084599588-+	chr15	84599587	84599588	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-182241677-182241678-+	chr2	182241677	182241678	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-116087530-116087531--	chr4	116087530	116087531	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-162651510-162651515-+	chr4	162651510	162651515	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-027392302-027392303--	chr5	27392302	27392303	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-120236419-120236422-+	chr5	120236419	120236422	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr7-032287946-032287947-+	chr7	32287946	32287947	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-118692221-118692222-+	chr3	118692221	118692222	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-133620580-133620581-+	chr4	133620580	133620581	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-105175016-105175017-+	chr8	105175016	105175017	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-160727759-160727760--	chr1	160727759	160727760	-	hg19	L1HS	Breast-AdenoCA	1	high
